**** BEGIN LOGGING AT Tue Oct 18 17:58:07 2016

Th10 18 17:58:12 <jamielennox>	yum would be python-keystoneauth 
Th11 08 08:39:42 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th11 08 08:39:42 *	Topic for #openstack-swift set by notmyname (Wed Nov  2 06:09:34 2016)
Th11 08 08:39:43 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th11 08 08:45:09 <clayg>	kota_: I guess I"m thinking about lp bug #1549110
Th11 08 08:45:11 <openstack>	Launchpad bug 1549110 in OpenStack Object Storage (swift) "EC: object-reconstuctor got unhandled 0 divison error" [High,In progress] https://launchpad.net/bugs/1549110 - Assigned to Kota Tsuyuzaki (tsuyuzaki-kota)
Th11 08 08:45:14 <clayg>	kota_:  that one finally bit me too!
Th11 08 08:46:08 <kota_>	clayg: yeah,
Th11 08 08:47:05 <clayg>	kota_: after I finally got to understanding the bug I wasn't entirely sure we shouldn't just avoid the zerodivision error by "fixing" the integer devision that's throwing out precision?
Th11 08 08:47:26 <clayg>	basically the problem is that 1 / 2 != 0 except it does :'(
Th11 08 08:48:30 <kota_>	yup
Th11 08 08:48:33 <clayg>	kota_: normally I just stick a "1. *" in front of it and call it day
Th11 08 08:49:12 <clayg>	i agree that stats reporting isn't quite right - but I'm not sure the change of making devices global for each policy is better?
Th11 08 08:49:24 <clayg>	... but anything is better than the traceback followed by not maing reconstruction progress :'(
Th11 08 08:50:17 <kota_>	clayg: ah, which is better reporting each policy vs global is a bit complicated because it may depend on the costomer policy
Th11 08 08:50:55 <kota_>	clayg: what i found as problem in the bug is almostly a metrix is for a policy but others are global
Th11 08 08:51:01 <clayg>	kota_:  how would you feel about "1. *" to fix lp bug #1549110 ASAP and then do something better for devices to address lp bug #1488608 (maybe raise the priority and reference the older change set from your work?)
Th11 08 08:51:03 <openstack>	Launchpad bug 1549110 in OpenStack Object Storage (swift) "EC: object-reconstuctor got unhandled 0 divison error" [High,In progress] https://launchpad.net/bugs/1549110 - Assigned to Kota Tsuyuzaki (tsuyuzaki-kota)
Th11 08 08:51:04 <openstack>	Launchpad bug 1488608 in OpenStack Object Storage (swift) "stats output in reconstructor.py gives wrong device count" [Low,Confirmed] https://launchpad.net/bugs/1488608 - Assigned to Bill Huber (wbhuber)
Th11 08 08:51:15 <kota_>	and it causes 0 devision.
Th11 08 08:51:34 <kota_>	ah, got it
Th11 08 08:52:23 <kota_>	clayg: it might be good to separate the problem to 1. avoiding 0 division and 2. good stat logging.
Th11 08 08:52:27 <kota_>	make sense.
Th11 08 08:52:32 <clayg>	kota_:  I wasn't quite able to convince myself the integer devision thing *can't* bite you with one policy
Th11 08 08:56:43 <clayg>	kota_: ok, maybe I can push a fix for zero devision bug and rebase your change on it?
Th11 08 08:56:46 <kota_>	clayg: ok, will take a look... maybe today or tommorow-ish.  i need to switch my head from deep sea of Erasrure Coding and unfortunately i may not be able to take much time because of company meetings.
Th11 08 08:56:57 <kota_>	clayg: that's great
Th11 08 08:57:25 <clayg>	kota_: it's no problem!  I'll be joining you in deep EC land - today was my company meetings and other stuff day ;)
Th11 08 08:57:58 <kota_>	clayg: thank you so much, man ;-)
Th11 08 09:57:26 <openstackgerrit>	Clay Gerrard proposed openstack/swift: Fix stats calculation in object-reconstructor  https://review.openstack.org/283946
Th11 08 09:57:26 <openstackgerrit>	Clay Gerrard proposed openstack/swift: Fix ZeroDivisionError in reconstructor.stats_line  https://review.openstack.org/394714
Th11 08 10:11:38 <clayg>	kota_: ^ so i ended up rebasing your stats improvemnts onto the zero devision fix - I think this will work ok, but need to look at it again fresh in the am
Th11 08 10:12:45 <clayg>	looking more closely at the other bug for stats processing it seems bill huber (remember him!) made the same diagnosis you did about needing to avoid resetting device count between runs
Th11 08 10:12:49 <clayg>	g'night
Th11 08 10:24:15 <kota_>	clagy: have a good night!
Th11 08 10:24:19 <kota_>	thanks
Th11 08 11:34:12 <clayg>	df -h
Th11 08 12:20:40 *	ChanServ gives voice to notmyname
Th11 08 14:03:27 *	tesseract is now known as Guest6570
Th11 08 15:39:50 *	amoralej|off is now known as amoralej
Th11 08 16:54:29 <openstackgerrit>	OpenStack Proposal Bot proposed openstack/swift: Updated from global requirements  https://review.openstack.org/88736
Th11 08 16:59:54 <openstackgerrit>	Gábor Antal proposed openstack/swift: Use more specific asserts in test/unit/common  https://review.openstack.org/342781
Th11 08 17:19:58 <openstackgerrit>	Gábor Antal proposed openstack/swift: Use more specific asserts in test/unit/obj tests  https://review.openstack.org/342830
Th11 08 17:29:43 *	ChanServ gives voice to notmyname
Th11 08 17:46:30 *	acoles_ is now known as acoles
Th11 08 18:38:18 <openstackgerrit>	Christian Hugo proposed openstack/swift: Use direct_get_suffix_hashes in the reconstructor  https://review.openstack.org/394551
Th11 08 19:00:32 *	amoralej is now known as amoralej|lunch
Th11 08 19:21:47 *	Guess456787654 is now known as NM
Th11 08 19:22:27 *	NM is now known as HELP
Th11 08 19:22:57 *	HELP is now known as Guest58324
**** ENDING LOGGING AT Tue Nov  8 20:02:39 2016

**** BEGIN LOGGING AT Thu Dec 15 13:07:09 2016

Th12 15 13:07:09 *	Now talking on #openstack-swift
Th12 15 13:07:09 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th12 15 13:07:09 *	Topic for #openstack-swift set by openstackstatus (Wed Dec 14 00:03:12 2016)
Th12 15 13:07:09 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th12 15 13:27:20 <openstackgerrit>	Tuan Luong-Anh proposed openstack/swift: Remove xrange for run both Python 2 and Python 3  https://review.openstack.org/385285
Th12 15 13:38:54 <openstackgerrit>	Christopher Bartz proposed openstack/python-swiftclient: prefix-based tempurls support  https://review.openstack.org/408596
Th12 15 15:08:45 <openstackgerrit>	Pavel Kvasnička proposed openstack/swift: Optimize hash calculation when suffix hash invalidated  https://review.openstack.org/402043
Th12 15 15:10:28 <openstackgerrit>	Pavel Kvasnička proposed openstack/swift: Optimize hash calculation when suffix hash invalidated  https://review.openstack.org/402043
Th12 15 15:25:56 <openstackgerrit>	wangxiyuan proposed openstack/python-swiftclient: Typo fix  https://review.openstack.org/411161
Th12 15 15:51:52 *	amoralej|off is now known as amoralej
Th12 15 15:58:29 <timss>	tdasilva: not me on twitter (@tjdett), but his question is definitely related!
Th12 15 17:18:42 *	acoles_ is now known as acoles
Th12 15 17:49:35 *	asettle__ is now known as asettle
Th12 15 17:53:22 <openstackgerrit>	Christian Hugo proposed openstack/swift: Raise ValueError if a config section does not exist  https://review.openstack.org/393388
Th12 15 18:15:29 <openstackgerrit>	Christian Hugo proposed openstack/swift: Raise ValueError if a config section does not exist  https://review.openstack.org/393388
Th12 15 19:21:45 <openstackgerrit>	Gábor Antal proposed openstack/swift: Use more specific asserts in test/unit/common  https://review.openstack.org/342781
Th12 15 20:11:24 *	amoralej is now known as amoralej|lunch
Th12 15 21:10:04 *	amoralej|lunch is now known as amoralej
Th12 15 22:45:38 <openstackgerrit>	Ondřej Nový proposed openstack/pyeclib: Prevent division by zero in tests  https://review.openstack.org/411394
Th12 15 22:59:19 <notmyname>	good morning
Th12 15 22:59:20 <notmyname>	acoles: has the sun set yet?
Th12 15 23:05:42 <notmyname>	Swift 2.12.0 was tagged last night
Th12 15 23:50:27 <acoles>	notmyname: :) it has now, 2 mins after you asked
Th12 15 23:50:43 <notmyname>	well, at least I beat it today :-)
Th12 15 23:55:53 <acoles>	notmyname: first part of this week actually had the earliest sunsets of the year, they are now getting later but sunrise gets later too until the solstice
Th12 15 23:56:51 <notmyname>	interesting
Th12 15 23:57:22 <acoles>	notmyname: looks like for you the earliest sunset was last week
Th12 15 23:57:47 <notmyname>	I guess I just assumed that solar noon was fairly constant with 12:00, instead of shorter daylight hours that are shifted later in the day
Th12 15 23:58:31 <notmyname>	reminds me of this that I saw from portante last week https://www.youtube.com/watch?v=82p-DYgGFjI
Th12 15 23:58:46 <openstackgerrit>	Pavel Kvasnička proposed openstack/swift: Optimize hash calculation when suffix hash invalidated  https://review.openstack.org/402043
Th12 16 01:06:53 <clayg>	acoles: PavelK: nice work on patch 402043 - looks like it's really coming along
Th12 16 01:06:54 <patchbot>	https://review.openstack.org/#/c/402043/ - swift - Optimize hash calculation when suffix hash invalid...
Th12 16 01:07:13 <clayg>	that title should really be "fix terrible performance regression in ..."
Th12 16 01:10:53 <acoles>	clayg: PavelK: fyi I am out tomorrow so won't get back to that patch til next week. thanks for the updates PavelK 
Th12 16 01:22:18 <timburke>	good morning
Th12 16 01:22:34 <notmyname>	hola
Th12 16 01:22:46 <clayg>	it's raining over here
Th12 16 01:24:02 <notmyname>	ewww
Th12 16 01:24:10 <notmyname>	that's why I'm sitting on my couch right now
Th12 16 01:28:24 *	amoralej is now known as amoralej|off
Th12 16 01:34:39 <tdasilva>	clayg: it's a balmy 20F here (w/ wind chill feels like 3F)
Th12 16 01:35:04 <tdasilva>	good thing summit is not until may!
Th12 16 01:35:52 <clayg>	tdasilva: you're crazy
Th12 16 01:39:56 <timburke>	in madison, it's currently 4F, with a high of 8. i'm glad i moved
Th12 16 01:41:35 <krypt0N>	hello all any idea when would "swift post test" give Container 'test' not found .But same container appears  in swift list
Th12 16 01:56:21 <notmyname>	krypt0N: could be weirdness like a trailing space or newline that's not being properly handled in the shell
Th12 16 01:57:34 <krypt0N>	notmyname on horizon also i see same behaviour
Th12 16 01:58:21 <notmyname>	krypt0N: if I were seeing that, i'd use curl and/or get a json listing from the container, just to see what's there
Th12 16 01:59:27 <krypt0N>	ClientException: Container POST failed: http://swift.sitec.com:8080/v1/AUTH_6942bc459383496baf5e0b98c1245507/5 404 Not Found  [first 60 chars of response] <html><h1>Not Found</h1><p>The resource could not be found.<
Th12 16 01:59:28 <krypt0N>	INFO:urllib3.connectionpool:Resetting dropped connection: swift.sitec.com
Th12 16 02:05:51 <clayg>	what you talking about container "5"
Th12 16 02:07:42 <clayg>	also the lack of https makes me think this is some sort of dev/test environment - so maybe you can get at some swift logs and try and find a transaction id or something?  maybe there is some sort of os-storage-url something going on 
Th12 16 02:21:13 *	acoles away til Monday
Th12 16 02:23:05 *	acoles is now known as acoles_
Th12 16 02:33:24 <openstackgerrit>	Christian Hugo proposed openstack/swift: Raise ValueError if a config section does not exist  https://review.openstack.org/393388
Th12 16 02:45:06 <openstackgerrit>	Christian Hugo proposed openstack/swift: Raise ValueError if a config section does not exist  https://review.openstack.org/393388
Th12 16 02:52:40 <openstackgerrit>	Tim Burke proposed openstack/swift: Raise ValueError if a config section does not exist  https://review.openstack.org/393388
Th12 16 02:58:02 <jrichli>	timburke: its 8F where I am currently, so about the same.  and I actually walked .6 miles to work this morning when it was 0F.  :-)
Th12 16 03:53:03 <clayg>	jrichli: I thought you were in texas!?
Th12 16 04:01:23 <jrichli>	not this week : Chicago
Th12 16 04:18:58 <MooingLemur>	something for some reason I didn't foresee before trying to convert swift nodes from Gentoo to CentOS, the swift uid/gid is different.
Th12 16 04:19:01 <MooingLemur>	so much fun :3
Th12 16 04:48:32 <mattoliverau>	morning
Th12 16 04:50:24 <openstackgerrit>	Merged openstack/python-swiftclient: Typo fix  https://review.openstack.org/411161
Th12 16 04:57:24 <mattoliverau>	MooingLemur: oh yeah.. that sounds like fun... you can set a specific uid/gid when creating the user, so you could add it to your provisioning. 
Th12 16 05:47:04 <openstackgerrit>	OpenStack Proposal Bot proposed openstack/python-swiftclient: Updated from global requirements  https://review.openstack.org/89250
Th12 16 06:47:01 *	jamielennox is now known as jamielennox|away
Th12 16 06:51:35 *	jamielennox|away is now known as jamielennox
Th12 16 07:15:22 <notmyname>	cschwede: your local police can take great pictures https://twitter.com/alauraschneider/status/809129305850707968
Th12 16 07:29:12 *	Jeffrey4l_ is now known as Jeffrey4l
Th12 16 07:54:34 <MooingLemur>	mattoliverau: yeah, CentOS has already standardized the Swift uid/gid number, so that's what everything's being changed to.  It's just a one-time 3 days of pain per box for the conversion :P
Th12 16 07:55:02 <mattoliverau>	:(
Th12 16 07:58:26 *	jamielennox is now known as jamielennox|away
Th12 16 08:02:21 *	jamielennox|away is now known as jamielennox
Th12 16 08:06:39 <kota_>	ood morning
Th12 16 08:06:43 <kota_>	good
Th12 16 08:08:01 <kota_>	congrats 2.12.0 release. not yet check CHANGELOG. just starting
Th12 16 08:42:20 *	jamielennox is now known as jamielennox|away
Th12 16 08:48:07 *	jamielennox|away is now known as jamielennox
Th12 16 08:56:06 <mattoliverau>	kota_: morning
Th12 16 08:56:46 <kota_>	mattoliverau: o/
Th12 16 08:59:47 <kota_>	mattoliverau: btw, could you review again patch 283946?
Th12 16 08:59:48 <patchbot>	https://review.openstack.org/#/c/283946/ - swift - Fix stats calculation in object-reconstructor
Th12 16 09:00:02 <kota_>	i updated the patch to address your comments.
Th12 16 09:00:08 <mattoliverau>	kota_: yes, yes I can. Will do that after lunch :) 
Th12 16 09:02:02 <kota_>	mattoliverau: thx!
Th12 16 09:42:12 <openstackgerrit>	zhangyanxian proposed openstack/python-swiftclient: Fix typo in shell.py  https://review.openstack.org/411590
Th12 16 09:42:52 <openstackgerrit>	zhangyanxian proposed openstack/python-swiftclient: Fix typo in shell.py  https://review.openstack.org/411590
Th12 16 14:58:45 *	tesseract is now known as Guest31304
Th12 16 15:07:40 *	jamielennox is now known as jamielennox|away
Th12 16 15:08:35 <mahatic_>	jrichli: thanks for pointing out the previous convo on rmdir on "remove empty db hash..", I kinda missed it :)
Th12 16 15:10:18 <mahatic_>	it somehow fell off the radar, I thought I read it all :P
Th12 16 15:15:04 *	jamielennox|away is now known as jamielennox
Th12 16 15:31:49 *	amoralej|off is now known as amoralej
**** ENDING LOGGING AT Fri Dec 16 16:33:24 2016

**** BEGIN LOGGING AT Mon Dec 19 08:47:34 2016

Th12 19 08:47:34 *	Now talking on #openstack-swift
Th12 19 08:47:34 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th12 19 08:47:34 *	Topic for #openstack-swift set by openstackstatus (Wed Dec 14 00:03:12 2016)
Th12 19 08:47:35 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th12 19 13:14:18 *	silor1 is now known as silor
Th12 19 14:05:48 *	tesseract is now known as Guest33254
Th12 19 14:26:55 <circ-user-oWpLl>	hi all, i installed swift with keystone.. but i m getting error when i try swift stat.. i m using mitaka version.. the error is "Unable to establish connection to $swiftURL"
Th12 19 14:27:16 <circ-user-oWpLl>	its authenticating with keystone.. but couldnt enter into swift
Th12 19 14:31:40 <openstackgerrit>	Merged openstack/swift: Raise ValueError if a config section does not exist  https://review.openstack.org/393388
Th12 19 14:55:21 <openstackgerrit>	Tuan Luong-Anh proposed openstack/swift: Replace six iteration methods with standard ones  https://review.openstack.org/375344
Th12 19 15:16:22 <mahatic_>	jrichli: doing good, thanks. Happy holidays! No plans for me as such, we don't have any holidays in India
Th12 19 15:16:56 <mahatic_>	mathiasb: np, nice work!
Th12 19 16:09:14 <openstackgerrit>	OpenStack Proposal Bot proposed openstack/swift: Updated from global requirements  https://review.openstack.org/88736
**** BEGIN LOGGING AT Tue Dec 20 09:23:21 2016

Th12 20 09:23:22 *	Now talking on #openstack-swift
Th12 20 09:23:22 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th12 20 09:23:22 *	Topic for #openstack-swift set by openstackstatus (Wed Dec 14 00:03:12 2016)
Th12 20 09:23:22 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th12 20 10:09:03 *	jamielennox is now known as jamielennox|away
Th12 20 10:23:16 *	jamielennox|away is now known as jamielennox
Th12 20 11:15:11 <openstackgerrit>	pangliye proposed openstack/swift: Replace assertTrue with assertIs.  https://review.openstack.org/412734
**** ENDING LOGGING AT Tue Dec 20 11:40:40 2016

**** BEGIN LOGGING AT Tue Jan  3 10:59:40 2017

Th01 03 10:59:40 *	Now talking on #openstack-swift
Th01 03 10:59:40 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th01 03 10:59:40 *	Topic for #openstack-swift set by openstackstatus (Thu Dec 29 18:10:46 2016)
Th01 03 10:59:40 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th01 03 12:54:01 *	jamielennox is now known as jamielennox|away
Th01 03 13:01:34 *	jamielennox|away is now known as jamielennox
Th01 03 14:03:51 <sknld>	hii all, I am uploading 10 objects of 16GB size to the swift with chunksize 536870912 bytes
Th01 03 14:04:36 <sknld>	i am getting  issues "503 service unavialable" and "500 internal server error" 
Th01 03 14:04:58 <sknld>	how to get rid of these errors
Th01 03 14:05:06 <sknld>	please someone help
**** ENDING LOGGING AT Tue Jan  3 19:34:44 2017

**** BEGIN LOGGING AT Wed Jan  4 08:13:48 2017

Th01 04 08:13:48 *	Now talking on #openstack-swift
Th01 04 08:13:48 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th01 04 08:13:48 *	Topic for #openstack-swift set by openstackstatus (Thu Dec 29 18:10:46 2016)
Th01 04 08:13:48 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th01 04 08:17:44 <kota_>	timburke: sounds good to take a longer vacation ;-)
Th01 04 08:22:31 <dims>	timburke : ok, now i am at the same point as you i think - http://logs.openstack.org/00/412500/9/check/gate-tempest-dsvm-neutron-full-ubuntu-xenial/d453c3f/logs/screen-s-proxy.txt.gz
Th01 04 08:57:47 <timburke>	dims: that actually seems more empty than i was expecting. i guess because it's running behind mod_wsgi? assuming i'm reading the log file correctly, i'm curious about what those 2376 bytes were from http://logs.openstack.org/00/412500/9/check/gate-tempest-dsvm-neutron-full-ubuntu-xenial/d453c3f/logs/apache/tls-proxy_access.txt.gz -- i wonder if that's where apache sends the traceback?
Th01 04 08:59:11 <timburke>	at any rate, yeah, from the "error reading status line from remote server 104.130.222.169:8081" in http://logs.openstack.org/00/412500/9/check/gate-tempest-dsvm-neutron-full-ubuntu-xenial/d453c3f/logs/apache/tls-proxy_error.txt.gz, i expect swift is bombing out without calling start_response
Th01 04 09:00:27 <dims>	timburke : gotcha. will have to figure out how to switch off tls-proxy or increase debug level 
**** ENDING LOGGING AT Wed Jan  4 09:13:59 2017

**** BEGIN LOGGING AT Wed Jan  4 09:55:45 2017

Th01 04 09:55:45 *	Now talking on #openstack-swift
Th01 04 09:55:45 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th01 04 09:55:45 *	Topic for #openstack-swift set by openstackstatus (Thu Dec 29 18:10:46 2016)
Th01 04 09:55:45 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th01 04 10:52:32 *	jamielennox is now known as jamielennox|away
Th01 04 11:01:08 *	jamielennox|away is now known as jamielennox
Th01 04 11:14:53 <mahatic_>	good morning
Th01 04 11:15:42 <mahatic_>	hope everyone had a good break. happy new year!
Th01 04 11:19:15 <mahatic_>	jrichli: acoles_ mathiasb : conf call sounds good. I'm fine either way - gerrit/call
Th01 04 11:19:59 <jrichli>	mahatic_: would 14:00 UTC be too late for you?
Th01 04 11:20:29 <mahatic_>	jrichli: nope, I can take that
Th01 04 11:21:09 <jrichli>	mahatic_: thanks, i appreciate it.  if you change your mind and want to  move it an hour earlier, we could swing that.
Th01 04 11:21:40 <mahatic_>	jrichli: but I won't be available this Friday on that time, as I will be travelling for the weekend. Today/tomm or next week any day I'm fine
Th01 04 11:22:28 <jrichli>	ok.  i wont be ready for doing this today.
Th01 04 11:23:24 <jrichli>	we'll see if thursday would be ok with everyone, or see if next week is better
Th01 04 11:23:30 <mahatic_>	sure, I understand
Th01 04 11:23:42 <mahatic_>	jrichli: okay, thanks
Th01 04 15:46:26 <mathiasb>	jrichli mahatic_ acoles_ : friday is also not good for me, but today, tomorrow and next week all work
Th01 04 16:14:00 *	acoles_ is now known as acoles
Th01 04 16:23:38 <acoles>	mahatic_: ack, thanks
Th01 04 16:25:54 <acoles>	clayg: sorry you got bitten by bug 1652323. I spent the last few hours of my 2016 tracking that down :/ can't believe we had not seen it sooner
Th01 04 16:25:55 <openstack>	bug 1652323 in OpenStack Object Storage (swift) "ssync syncs an expired object as a tombstone, probe test_object_expirer fails" [Medium,Confirmed] https://launchpad.net/bugs/1652323
Th01 04 16:28:38 <acoles>	clayg: I'd like to discuss with you what the appropriate fix should be - so far my thinking is we need to make diskfile support optionally opening an expired object so that ssync can replicate the .data even when it has expired. I briefly flirted with having ssync send a .ts at the expiry time, but that could result in inconsistency with another node.
Th01 04 16:32:15 *	acoles is now known as acoles_
Th01 04 16:32:33 <sldk>	Hii all, I installed openstack swift mitaka on centos machines
Th01 04 16:32:59 <sldk>	after that i configured swift3 by following https://github.com/openstack/swift3
Th01 04 16:33:49 <sldk>	while restarting swift-proxy service i am getting the following error http://paste.openstack.org/show/593847/
Th01 04 16:33:56 <sldk>	please someone help on this
Th01 04 16:36:04 *	acoles_ is now known as acoles
Th01 04 17:03:05 <acoles>	sldk: I'm not familiar with swift3 specifically but it looks like you don't have the middleware installed in entry points, so maybe you missed the 'sudo python setup.py install' step from here https://github.com/openstack/swift3#install
Th01 04 17:04:08 <sldk>	acoles: I already executed "sudo python setup.py install"
Th01 04 17:05:09 <sldk>	acoles: FYI i am following the same link what you have provided
Th01 04 17:16:31 <acoles>	sldk: can you reproduce this http://paste.openstack.org/show/593849/ ? (i.e. list the swift3 entry points)
Th01 04 17:19:03 <sldk>	acoles: here is my entry points http://paste.openstack.org/show/593850/
Th01 04 17:23:51 <charz>	sldk: do you intent to use swift3 with keystone?
Th01 04 17:24:20 <charz>	sldk: or just want to use swift with tempauth to do some tests?
Th01 04 17:25:03 <charz>	sldk: if you want to use that with keystone, you need another middleware s3token and keystoneauth.
Th01 04 17:25:50 <charz>	sldk: you need to add s3token to proxy-server.confg.
Th01 04 17:28:31 <sldk>	Yes, we want to use use swift3 with keystone
Th01 04 17:29:03 <sldk>	We have already added s3token and keystoneauth in proxy-server.config
Th01 04 17:29:39 <charz>	sldk: okay, you should able to find s3token in swift3.
Th01 04 17:30:53 <sldk>	charz: This is the s3 token section
Th01 04 17:31:12 <sldk>	[filter:s3token] use = egg:swift3#s3token auth_uri = http://192.168.0.4:35357/
Th01 04 17:32:21 <sldk>	and below is the keystoneauth section
Th01 04 17:32:25 <sldk>	[filter:keystoneauth]
Th01 04 17:32:46 <sldk>	use = egg:swift#keystoneauth
Th01 04 17:33:05 <sldk>	operator_roles = admin,user
Th01 04 17:33:21 <acoles>	sldk: ok, so you entry points map does not have swift3#s3token, and it looks like s3token was moved into swift3 in v1.11, so check you have latest version of swift3
Th01 04 17:35:40 <sldk>	acoles : Our swift3 version shows Version: 1.11.0.dev491
Th01 04 17:36:39 <ksam>	Hi, I am looking for internal working for replicator using rsync, in openstack-swift. Like I want to know when I want to add a object to swift, how and when the object is present in primary nodes and how the rsync is used to replicate to secondary nodes (2 nodes, if the replication == 3)?
Th01 04 17:37:47 <acoles>	sldk: I can see you have asked in #swift3, those guys are unlikely to be awake right now so try there again in US west coast or Japan daytimes
Th01 04 17:38:11 <ksam>	I was not able to find any documentation about it? Any link would be helpful. It is very hard to follow the source code.
Th01 04 17:38:17 <ksam>	Okay, sure thank you
Th01 04 17:38:30 <sldk>	acoles : Thanks for the info.
Th01 04 17:39:30 <acoles>	ksam: http://docs.openstack.org/developer/swift/overview_replication.html
Th01 04 17:41:16 <acoles>	ksam: in normal operation all 3 primary nodes would have a replica at completion of the object PUT. replication only needs to copy between primary nodes when a replica is lost. that is detected by the nodes comparing hashes of their contents, then using rsync to push missing replicas.
Th01 04 17:42:17 <ksam>	I was under the assumption that (for replicas = 3), there is 1 primary node and 2 secondary nodes
Th01 04 17:43:02 <ksam>	So, when the primary node is copied over http, then rsync is used to sync btw primary and secondary
Th01 04 17:50:21 <acoles>	ksam: no, the three nodes holding replicas are all referred to as primaries. client sends object to swift proxy via http, proxy writes a replica to each of 3 primary nodes. (in normal operation)
Th01 04 17:52:10 *	acoles afk
Th01 04 17:53:05 <ksam>	So, how does the proxy writes to 3 primary nodes in normal operation? Like one by one (Serially) or all 3 simultaneously? And when does the client gets back the ack of PUT command?
Th01 04 18:14:40 <acoles>	ksam: proxy writes 3 replicas in parallel. client gets back an ack if at least 2 replica writes succeed (or in general a majority of replicas).
Th01 04 18:15:23 <acoles>	ksam: (it's actually a little more complicated than that in terms of exactly when the client gets the ack, but that's the fundamental idea)
Th01 04 18:21:13 <ksam>	Thanks a lot. A last question, Is following flow correct? For PUT command, 1. File from local pc to proxy,  2.From proxy to 3(num_replicas) primary nodes
Th01 04 18:21:41 <acoles>	yes
Th01 04 18:24:06 <ksam>	thanks
Th01 04 18:31:11 <ksam>	So for replica = 3, If after getting back 2 acks, the client is shown success for PUT Command. What happens when 3 ack failed. Is this a case of node failure where rsync is need to transfer a copy to secondary node
Th01 04 18:31:30 <ksam>	3rd*
Th01 04 18:31:33 <ksam>	needed*
Th01 04 18:32:47 <ksam>	It would be very helpful, If you can also suggests me some book or blog for more information about this. Thanks
Th01 04 19:10:41 <acoles>	ksam you could try http://shop.oreilly.com/product/0636920033288.do
Th01 04 20:01:21 <openstackgerrit>	Alistair Coles proposed openstack/swift: Fix flaky expirer probe test  https://review.openstack.org/416384
Th01 04 20:02:00 <acoles>	clayg: changed the bug tag ^^
Th01 04 21:14:53 <tdasilva>	good morning
Th01 04 21:20:09 <jrichli>	tdasilva: good morning!  What do you think of 14:00 UTC either tomorrow or next week?  timburke: is that too early for you (re: keymaster v2 call)?
